artist,weeks,,,,,,,
Taylor Swift,1023,,,,,,,
Elton John,889,,,,,,,
Madonna,857,,,,,,,
Drake,787,,,,,,,
Kenny Chesney,769,,,,,,,
Tim McGraw,731,,,,,,,
Keith Urban,673,,,,,,,
Stevie Wonder,659,,,,,,,
Rod Stewart,657,,,,,,,
Mariah Carey,621,,,,,,,
Michael Jackson,611,,,,,,,
Chicago,607,,,,,,,
Rascal Flatts,604,,,,,,,
Billy Joel,588,,,,,,,
The Beatles,585,,,,,,,
The Rolling Stones,585,,,,,,,
Jason Aldean,572,,,,,,,
Aretha Franklin,569,,,,,,,
Rihanna,566,,,,,,,
P!nk,564,,,,,,,
Whitney Houston,561,,,,,,,
Brad Paisley,559,,,,,,,
Neil Diamond,553,,,,,,,
George Strait,553,,,,,,,
Luke Bryan,543,,,,,,,
Carrie Underwood,541,,,,,,,
Daryl Hall John Oates,540,,,,,,,
The Beach Boys,531,,,,,,,
Toby Keith,526,,,,,,,
Bee Gees,516,,,,,,,
Blake Shelton,512,,,,,,,
Maroon 5,511,,,,,,,
Kelly Clarkson,507,,,,,,,
Elvis Presley,495,,,,,,,
Beyonce,492,,,,,,,
Connie Francis,485,,,,,,,
The Temptations,478,,,,,,,
The Weeknd,477,,,,,,,
Kool & The Gang,469,,,,,,,
Elvis Presley With The Jordanaires,458,,,,,,,
Usher,456,,,,,,,
Dionne Warwick,451,,,,,,,
Mary J. Blige,446,,,,,,,
Brenda Lee,444,,,,,,,
Dierks Bentley,438,,,,,,,
Aerosmith,429,,,,,,,
Janet Jackson,429,,,,,,,
Chris Brown,427,,,,,,,
R. Kelly,427,,,,,,,
Heart,426,,,,,,,
Nickelback,425,,,,,,,
Diana Ross,424,,,,,,,
Imagine Dragons,422,,,,,,,
Gladys Knight And The Pips,415,,,,,,,
Britney Spears,413,,,,,,,
Bon Jovi,410,,,,,,,
Olivia Newton-John,408,,,,,,,
Phil Collins,406,,,,,,,
Cher,400,,,,,,,
Donna Summer,399,,,,,,,
Ed Sheeran,397,,,,,,,
Katy Perry,394,,,,,,,
Marvin Gaye,393,,,,,,,
Barry Manilow,387,,,,,,,
The Pointer Sisters,387,,,,,,,
The Black Eyed Peas,382,,,,,,,
James Brown,381,,,,,,,
Paul Anka,381,,,,,,,
Alan Jackson,380,,,,,,,
Bruno Mars,380,,,,,,,
U2,376,,,,,,,
